Nome: SAO PEDRO DO PIAUI
Codigo Estacao: A362
Latitude: -5.91111111
Longitude: -42.7186111
Altitude: 295.81
Situacao: Desativada
Data Inicial: 2014-01-01
Data Final: 2019-11-12
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2014-01-01;0000;976,4;976,4;976;-3,4;24,9;26,8;24,9;84;70;84;360;2,6;,5;
2014-01-01;0100;976,5;976,6;976,4;-3,5;24;25;24;90;84;90;329;2,5;1,4;
2014-01-01;0200;976,5;976,6;976,4;-3,5;23,9;24,1;23,7;90;88;88;320;2,4;1;
2014-01-01;0300;976,2;976,5;976,1;-3,5;24,1;24,3;23,8;89;86;87;312;2,2;1,1;
2014-01-01;0400;975,8;976,2;975,8;-3,5;23,3;24,2;23,2;90;87;90;162;1,6;,5;
2014-01-01;0500;975,7;975,9;975,6;-3,4;23,5;23,8;22,8;91;83;84;348;4,9;2,1;
2014-01-01;0600;975,7;975,7;975,6;-3,5;23,3;23,9;23,1;85;80;83;335;4,2;2,3;
2014-01-01;0700;976;976;975,6;-3,5;23,3;23,6;23,1;84;82;83;332;3,9;2,4;
2014-01-01;0800;976,6;976,6;976;-3,5;22,7;23,4;22,7;86;83;86;265;3,5;,6;
2014-01-01;0900;977,6;977,6;976,6;11,4;21,7;22,7;21,6;92;86;92;88;1,6;,4;
2014-01-01;1000;978,2;978,2;977,6;421,1;24,8;24,9;21,7;92;77;77;263;1,3;,4;
2014-01-01;1100;978,8;978,8;978,2;1296,6;26,3;26,5;24,7;79;69;72;86;3,6;1,5;
2014-01-01;1200;979,2;979,2;978,8;2161,1;27,5;27,7;26,2;75;65;66;112;5,6;2,6;
2014-01-01;1300;979;979,2;979;2857,3;29,1;29,3;27,6;66;57;57;85;5,6;1,9;
2014-01-01;1400;978,6;979;978,6;3333,5;30;30,3;28,7;62;51;53;88;4,9;2;
2014-01-01;1500;977,8;978,6;977,8;3594;30,9;31,3;29,9;55;47;48;126;6,2;2,2;
2014-01-01;1600;976,6;977,8;976,6;3574,5;32,4;32,5;30,5;51;42;46;36;7,6;1,5;
2014-01-01;1700;975,4;976,6;975,4;3272,1;32,8;33;31,9;51;40;42;115;4;1,7;
2014-01-01;1800;974,5;975,4;974,5;2709,8;32,7;33,4;32,4;48;40;44;305;3,8;1,4;
2014-01-01;1900;973,9;974,6;973,9;1979,5;32,8;33,7;32,6;47;38;42;356;3,4;1,7;
2014-01-01;2000;974;974;973,8;1096,7;32,4;33,1;32,3;48;39;48;354;3,3;1,8;
2014-01-01;2100;974,3;974,3;974;248,2;29,6;32,4;29,6;61;45;60;7;3,3;,8;
2014-01-01;2200;974,7;974,7;974,3;-2;29,1;29,9;29;62;51;52;254;3,7;1,4;
2014-01-01;2300;975;975;974,7;-3,5;27,7;29,1;27,4;61;51;58;247;2,7;,9;
2014-01-02;0000;975,4;975,4;975;-3,3;26,6;27,8;26,6;71;57;71;315;1,6;1;
2014-01-02;0100;975,8;976,1;975,4;-2;27,6;28,1;26,5;72;57;60;178;5,6;1,7;
2014-01-02;0200;975,6;975,8;975,6;-3,5;26;27,6;26;68;58;68;330;3,8;1,2;
2014-01-02;0300;974,7;975,6;974,7;-3,5;25,4;26;25;73;67;69;300;2,5;1,2;
2014-01-02;0400;974,4;974,7;974,3;-2,2;25,3;26,7;25,3;74;61;74;236;2,9;,7;
2014-01-02;0500;974;974,4;974;-2,4;24,9;25,3;24,8;80;71;76;343;2,9;1,3;
2014-01-02;0600;973,9;974;973,8;-2,3;24,7;24,9;24,3;81;76;79;227;2,1;,3;
2014-01-02;0700;974,5;974,5;973,9;-2,3;24,4;24,9;24;84;78;78;337;4,9;3;
2014-01-02;0800;975,1;975,1;974,5;-3,4;23,6;24,4;23,6;81;75;80;355;4,8;1,5;
2014-01-02;0900;975,8;975,8;975,1;8,8;24;24,1;23,3;82;79;79;331;3,1;2;
2014-01-02;1000;976,5;976,5;975,8;458,7;25,8;25,8;24;80;75;75;358;3,7;2,1;
2014-01-02;1100;977,2;977,2;976,5;1079,8;27,1;27,1;25,5;77;71;72;46;4,7;1,2;
2014-01-02;1200;977,9;977,9;977,2;1590,5;27,4;27,8;26,2;74;67;69;85;4;1;
2014-01-02;1300;978;978;977,9;1788,4;28,3;28,9;27;72;59;61;70;5,2;1,9;
2014-01-02;1400;977,4;978;977,4;3383,4;30,4;30,4;28,2;63;53;56;69;5,5;2;
2014-01-02;1500;977;977,4;977;3641,6;31;31,6;29,9;56;50;53;28;5,9;2,2;
2014-01-02;1600;976,3;977;976,3;3619;32,1;32,1;30,8;55;44;47;97;5;1,8;
2014-01-02;1700;975,1;976,3;975,1;3181,2;32;32,7;31,5;51;42;45;286;5,2;1,7;
2014-01-02;1800;973,9;975,1;973,9;2723,1;32,4;32,9;32;50;42;44;329;3,9;1,1;
2014-01-02;1900;973,4;973,9;973,3;1987,1;32,6;33,6;32,4;47;39;43;312;3;1,1;
2014-01-02;2000;973,1;973,4;973;1122,3;32,4;33;32,1;48;40;45;285;2,7;1,1;
2014-01-02;2100;973,9;973,9;973,1;361,9;30,3;32,6;30,3;57;43;57;117;2,5;1,1;
2014-01-02;2200;974,3;974,4;973,9;9;27,2;30,3;27;61;55;57;200;8,9;1,6;
2014-01-02;2300;974,9;975,3;974,2;-3,4;26,3;27,3;26,3;66;56;63;45;5;1,4;
2014-01-03;0000;975,3;975,3;974,9;-3,3;26,3;26,4;26;67;63;66;181;5;1,4;
2014-01-03;0100;976,2;976,3;975,2;-3,4;25,9;26,3;25;71;63;64;91;6,1;2,7;
2014-01-03;0200;976,2;976,9;976,2;-3,2;22,8;25,9;22,8;82;64;82;144;12,2;1,3;
2014-01-03;0300;975,7;976,2;975,4;-3,5;23,6;23,8;22,5;84;76;78;325;6,4;2,7;
2014-01-03;0400;975,4;976,1;975,4;-3,2;22,6;23,7;22,6;86;77;86;299;6,4;1;
2014-01-03;0500;975,3;975,8;975,3;-3,2;22,3;22,8;22,3;88;85;88;339;3,2;1,6;
2014-01-03;0600;975;975,6;975;-2,9;22,4;22,6;22,3;89;87;89;333;4,1;2,5;
2014-01-03;0700;975,2;975,2;974,9;-2,4;23,1;23,1;22,4;89;87;87;326;4,2;1,6;
2014-01-03;0800;975,6;975,6;975,1;-3,1;22,8;23,1;22,8;88;87;88;323;4,1;1,5;
2014-01-03;0900;976,8;976,8;975,6;14,2;22,9;22,9;22,7;89;88;89;326;3,8;1,1;
2014-01-03;1000;977,2;977,3;976,8;167,2;23,7;23,7;22,9;89;87;87;334;3;1,7;
2014-01-03;1100;977,9;977,9;977,2;305;24,1;24,2;23,7;87;85;86;349;4;2,3;
2014-01-03;1200;978,2;978,2;977,8;1698,4;26,7;26,7;24,1;86;77;77;7;5,5;2,8;
2014-01-03;1300;978,5;978,6;978,2;1954,1;26,8;27,3;26,2;79;72;75;45;6,2;1,7;
2014-01-03;1400;978,2;978,5;978,2;2168,9;29,1;29,1;26,8;76;63;65;86;6,6;2,8;
2014-01-03;1500;977,7;978,2;977,7;2435,4;29,7;29,7;27,8;72;57;57;55;6,5;2,7;
2014-01-03;1600;976,8;977,7;976,8;2703,9;31,2;31,2;28,5;62;53;53;94;6;1,7;
2014-01-03;1700;975,5;976,8;975,5;3350,1;31,6;31,6;30,4;55;47;49;91;6,2;2,2;
2014-01-03;1800;974,7;975,5;974,7;2678,7;32;32,2;31,2;51;45;50;41;5;2,1;
2014-01-03;1900;974,3;974,7;974,3;1490,1;30,3;32,3;30,3;55;44;55;45;4,5;1,1;
2014-01-03;2000;974,5;974,5;974,3;546,1;29,9;30,6;29,9;60;51;60;8;2,4;,7;
2014-01-03;2100;974,7;974,8;974,5;190,7;28,7;29,9;28,7;68;53;62;258;1,3;,6;
2014-01-03;2200;975,7;975,7;974,7;-1;27,1;28,7;27,1;72;62;72;240;3,3;1,7;
2014-01-03;2300;976,4;976,4;975,7;-3,5;26,4;27,1;26,4;77;72;77;218;3,4;1,3;
2014-01-04;0000;976,7;976,7;976,4;-3,5;26;26,4;26;79;77;79;217;3;1,3;
2014-01-04;0100;977,7;977,7;976,7;-3,5;25,7;26;25,7;80;79;80;181;2,8;1,6;
2014-01-04;0200;978;978,1;977,7;-3,5;24,5;25,7;24,5;81;78;81;313;2,9;1;
2014-01-04;0300;978,2;978,4;978;-3,5;24,3;24,9;23,9;87;79;86;322;6,4;1,5;
2014-01-04;0400;978,2;978,3;978,1;-3,5;23,7;24,3;23,6;89;86;87;308;5,3;2,4;
2014-01-04;0500;977,7;978,2;977,7;-3,4;23,4;23,7;23,2;87;84;84;308;5,1;2,4;
2014-01-04;0600;977,5;977,7;977,5;-3,4;23;23,6;23;85;82;85;297;4,7;1,8;
2014-01-04;0700;977,8;977,8;977,5;-3,5;22,6;23;22,5;87;85;87;319;4,1;1,9;
2014-01-04;0800;978,2;978,2;977,8;-3,5;22;22,6;22;90;87;90;289;3,4;1,2;
2014-01-04;0900;978,9;978,9;978,2;9,5;21,8;22,1;21,7;91;90;91;321;2,9;1,1;
2014-01-04;1000;979,8;979,8;978,9;398,9;23,3;23,3;21,8;91;85;86;299;3,6;1,8;
2014-01-04;1100;980,6;980,6;979,8;523,6;24;24,2;23,3;86;83;85;46;3,2;,6;
2014-01-04;1200;980,7;980,7;980,4;1288,1;25,8;26;24;86;76;78;5;4,7;2,3;
2014-01-04;1300;980,8;980,8;980,6;1403,7;26,4;27,1;25,6;79;72;76;12;4,5;1,3;
2014-01-04;1400;980,7;980,8;980,6;1855,9;27,4;27,8;26,2;80;69;74;6;4,4;2,1;
2014-01-04;1500;980;980,7;979,9;3146;29,5;29,9;27,2;74;62;63;35;5,2;2,1;
2014-01-04;1600;979;980;979;3358,7;29,8;30,9;29,2;66;54;61;310;5,2;,9;
2014-01-04;1700;977,7;979;977,7;3159;31,5;31,6;29,8;62;49;51;96;4,3;1,3;
2014-01-04;1800;976,8;977,7;976,8;2699,8;32,4;32,5;30,8;52;46;49;84;3,3;,8;
2014-01-04;1900;976,3;976,8;976,2;1643;31,7;32,4;30,4;54;46;48;99;3,6;1;
2014-01-04;2000;976,3;976,4;976,1;1153,4;31,2;32,1;31,2;50;45;48;158;2,7;1,4;
2014-01-04;2100;976,5;976,5;976,1;328,3;29,6;31,3;29,6;58;47;58;175;2,7;,9;
2014-01-04;2200;976,7;976,8;976,4;-1,3;27,6;29,6;27,6;67;57;66;219;2,1;1,2;
2014-01-04;2300;977,1;977,1;976,7;-3,5;27,1;27,6;27,1;68;65;67;220;2,3;1;
2014-01-05;0000;977,4;977,5;977;-3,5;26,7;27,2;26,6;69;66;68;262;2,4;1,3;
2014-01-05;0100;977,4;977,5;977,4;-3,5;25,5;27;25,5;75;66;75;306;2,4;,8;
2014-01-05;0200;977,6;977,7;977,4;-3,5;25,6;25,6;25;79;73;73;252;2,6;1;
2014-01-05;0300;977,6;977,6;977,2;-3,5;23,7;25,7;23,7;84;73;84;320;7,2;2,8;
2014-01-05;0400;977,2;977,6;977,2;-3,5;24,4;24,7;23,7;85;80;82;314;7,8;2,1;
2014-01-05;0500;977,3;977,3;977,1;-3,5;24;24,5;24;83;81;83;325;5,2;1,7;
2014-01-05;0600;976,9;977,4;976,9;-3,5;23,4;24;23,4;86;83;86;328;3,5;1,8;
2014-01-05;0700;977,2;977,2;976,9;-3,5;22,8;23,4;22,7;88;86;88;321;4,4;1;
2014-01-05;0800;977,7;977,7;977,2;-3,5;22,3;22,8;22,3;91;88;91;328;2,9;1,8;
2014-01-05;0900;978,6;978,6;977,7;8,7;21,8;22,3;21,8;93;91;93;344;3;,5;
2014-01-05;1000;979,1;979,1;978,6;392,9;23,8;23,9;21,8;93;86;86;344;3,6;1,9;
2014-01-05;1100;979,6;979,6;979,1;1006,7;24,9;25,2;23,6;87;80;81;6;6,4;2,8;
2014-01-05;1200;980,2;980,3;979,6;611,8;25,2;25,4;24,3;84;78;80;58;6;1,7;
2014-01-05;1300;980,3;980,3;980,1;1725,6;26,6;27,3;25,2;80;70;73;99;4,7;1,4;
2014-01-05;1400;979,9;980,3;979,9;2721,6;29,2;29,8;26,4;74;60;60;96;4,4;2,1;
2014-01-05;1500;979,4;979,9;979,4;2481,4;28,7;29,9;28,2;65;58;62;157;4,4;1,6;
2014-01-05;1600;978,8;979,5;978,8;2744,8;30,3;31;28,7;63;53;55;139;4,1;1,4;
2014-01-05;1700;977,7;978,8;977,7;3260,1;31,8;32,4;30,3;58;45;46;181;4,3;1;
2014-01-05;1800;976,6;977,7;976,6;2681,5;32,1;32,7;31,6;49;44;46;222;3,7;1,5;
2014-01-05;1900;976,2;976,6;976,2;1951,7;32,5;32,7;31,9;50;43;47;205;5,1;1,9;
2014-01-05;2000;976,2;976,2;976;1115,9;31,6;32,6;31,6;49;44;48;219;4,7;1,9;
