Nome: MACAUBAS
Codigo Estacao: A454
Latitude: -13.03888888
Longitude: -42.61722221
Altitude: 574
Situacao: Desativada
Data Inicial: 2016-04-06
Data Final: 2019-04-21
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2016-04-06;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0600;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0700;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0800;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;0900;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1500;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-06;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0600;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0700;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0800;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;0900;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1500;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1600;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1700;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1800;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-07;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-08;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-08;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-08;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-08;0300;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-08;0400;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-08;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;
