Nome: PAULO AFONSO
Codigo Estacao: A411
Latitude: -9.37805554
Longitude: -38.22666666
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2014-01-01
Data Final: 2017-03-12
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2014-01-01;0000;983,5;983,5;982,5;-3,5;27;28,6;27;60;53;60;132;12,8;7,9;
2014-01-01;0100;984;984;983,5;-3,5;26,1;27;26,1;66;60;66;140;12,6;5,9;
2014-01-01;0200;983,8;984,1;983,8;-3,5;25,3;26,1;25,3;70;66;70;144;8,7;4,8;
2014-01-01;0300;983,6;983,8;983,5;-3,5;24,6;25,3;24,6;74;70;74;135;7,9;4,4;
2014-01-01;0400;983,1;983,6;983,1;-3,5;23,9;24,6;23,9;76;74;76;120;6,6;3,3;
2014-01-01;0500;982,7;983,1;982,7;-3,5;23,4;24;23,4;79;76;79;113;5,5;2,6;
2014-01-01;0600;982,9;982,9;982,7;-3,5;23,1;23,4;23,1;80;79;79;108;5,1;2,8;
2014-01-01;0700;983,5;983,5;982,9;-3,5;22,5;23,1;22,5;82;79;82;122;4,6;2;
2014-01-01;0800;984,2;984,2;983,4;-3,5;22,4;22,5;22,1;84;82;84;155;2,9;1,7;
2014-01-01;0900;984,9;984,9;984,2;76,2;22,7;22,7;22,3;85;84;84;149;3,6;2,1;
2014-01-01;1000;985,3;985,3;985;674,6;23,9;23,9;22,7;85;80;80;125;5,5;3,3;
2014-01-01;1100;985,7;985,7;985,3;1640,2;25,3;25,5;23,8;80;69;69;134;6,2;4,3;
2014-01-01;1200;985,7;985,8;985,7;2233,4;27;27,5;25,1;71;61;61;114;6,3;3,9;
2014-01-01;1300;985,4;985,8;985,4;2280,3;27,9;28,4;26,5;64;55;58;94;8,7;2,5;
2014-01-01;1400;984,6;985,4;984,6;3363,8;30,4;30,4;28;58;46;46;115;8,1;4,7;
2014-01-01;1500;983,7;984,6;983,7;3173,1;31;31,5;29,6;48;41;44;118;8,5;3,9;
2014-01-01;1600;982,4;983,7;982,4;3672,7;32,2;32,8;31;44;35;36;129;8,7;3,7;
2014-01-01;1700;981,2;982,4;981,2;3081,7;33,8;33,8;32,1;36;31;32;102;7,6;2,8;
2014-01-01;1800;980,4;981,2;980,4;2608,9;34,3;34,5;33;33;30;31;105;6,8;2,3;
2014-01-01;1900;980,1;980,4;980,1;739,9;32,4;34,3;32,4;34;31;33;118;6,5;2,4;
2014-01-01;2000;980,2;980,2;979,9;609;32,5;33,4;32,4;34;30;32;113;6,4;4;
2014-01-01;2100;980,8;980,8;980,2;130,9;31,4;32,5;31,4;42;32;42;148;10,8;6,7;
2014-01-01;2200;981,6;981,6;980,8;-2,4;28,6;31,4;27,8;59;42;55;152;11,7;5;
2014-01-01;2300;982,2;982,2;981,6;-3,4;28;28,9;28;57;53;57;131;11,8;7,5;
2014-01-02;0000;982,9;982,9;982,2;-3,5;26,8;28;26,8;61;57;60;120;13,1;5,7;
2014-01-02;0100;983,2;983,2;982,8;-3,5;26,1;26,9;26;64;59;59;116;10,6;6,3;
2014-01-02;0200;983;983,2;982,9;-3,5;25,1;26,1;25,1;63;59;63;116;10;4,3;
2014-01-02;0300;982,7;983;982,7;-3,5;24,4;25,1;24,3;68;63;68;123;7,2;3,8;
2014-01-02;0400;981,9;982,7;981,9;-3,5;23,6;24,4;23,5;73;68;73;135;7;2,9;
2014-01-02;0500;981,7;981,9;981,7;-3,5;22,6;23,6;22,6;78;73;78;144;5;2,2;
2014-01-02;0600;981,5;981,7;981,5;-3,5;22,2;22,7;22,1;81;78;81;152;3,6;1,9;
2014-01-02;0700;981,9;981,9;981,5;-3,5;21,9;22,2;21,9;84;81;84;152;3,6;2,4;
2014-01-02;0800;982,4;982,4;981,9;-3,5;21,4;21,9;21,4;86;84;86;139;4,3;2,3;
2014-01-02;0900;983,1;983,1;982,4;78,9;21,8;21,8;21,2;87;86;86;142;4,7;3,1;
2014-01-02;1000;983,8;983,8;983,1;670,2;23,1;23,1;21,8;86;82;82;143;5,4;3,2;
2014-01-02;1100;984,2;984,2;983,8;1644,4;25;25;23,1;82;70;71;113;6,1;3,5;
2014-01-02;1200;984,3;984,3;984,1;2469,8;27,2;27,2;25,1;72;59;61;103;7,6;3,6;
2014-01-02;1300;984,1;984,3;984;3134,1;28,5;28,7;26,8;61;52;52;126;8,6;3,4;
2014-01-02;1400;983,5;984,1;983,5;3047,9;30,3;30,4;28,2;53;43;43;99;8,7;4,1;
2014-01-02;1500;982,7;983,5;982,7;3791,3;31,4;31,7;29,9;46;38;40;133;8,2;4;
2014-01-02;1600;982;982,7;982;3506,5;32,2;32,7;31,3;41;34;34;113;8,2;3,5;
2014-01-02;1700;980,8;981,9;980,8;3190,9;32,5;33,6;32,2;36;29;31;99;7,3;3,6;
2014-01-02;1800;979,9;980,8;979,9;1895,4;33,3;33,7;31,8;33;29;29;98;7,6;1,6;
2014-01-02;1900;979,6;979,9;979,5;2032,6;33,5;34,4;33,3;30;27;28;114;6,3;3;
2014-01-02;2000;979,6;979,6;979,4;1037,8;33,3;33,6;33,1;31;27;29;120;5,7;3;
2014-01-02;2100;980;980;979,6;267,4;32,2;33,3;32;30;28;30;136;6,2;2,9;
2014-01-02;2200;980,7;980,7;980;-3,3;30,5;32,2;30,5;41;29;41;122;11,6;6,7;
2014-01-02;2300;981,7;981,7;980,7;-3,5;28,2;30,5;28,2;53;41;53;134;12,1;7,6;
2014-01-03;0000;982,5;982,5;981,7;-3,5;26,8;28,2;26,8;60;53;60;129;12,2;5,7;
2014-01-03;0100;983;983;982,5;-3,5;26;26,9;26;63;60;61;120;9,9;6,1;
2014-01-03;0200;983,1;983,2;983;-3,5;25,2;26;25,2;67;61;66;118;9,8;5;
2014-01-03;0300;982,8;983,2;982,7;-3,5;24,5;25,2;24,5;68;66;68;122;8,9;4,5;
2014-01-03;0400;982,6;982,8;982,5;-3,5;23,9;24,6;23,8;70;67;70;137;7,5;3,4;
2014-01-03;0500;982,6;982,6;982,5;-3,5;23,3;23,9;23,3;73;70;73;138;6,8;3,5;
2014-01-03;0600;982,5;982,7;982,4;-3,5;22,7;23,3;22,7;77;73;77;126;5,8;3,4;
2014-01-03;0700;982,7;982,7;982,5;-3,5;22,4;22,8;22,4;78;76;78;130;5,6;2,7;
2014-01-03;0800;983,1;983,1;982,7;-3,5;21,7;22,5;21,7;82;78;82;148;4;1,6;
2014-01-03;0900;983,9;983,9;983,1;74,6;22,1;22,1;21,5;85;82;84;133;3,4;1,4;
2014-01-03;1000;984,1;984,2;983,9;700,5;23,5;23,7;22,1;84;77;77;146;4,6;2,6;
2014-01-03;1100;984,5;984,6;984,1;1439;25,4;25,5;23,4;77;65;66;125;7,8;4,1;
2014-01-03;1200;984,4;984,6;984,4;2182,7;27,2;27,2;25,3;66;56;56;85;8,5;3,1;
2014-01-03;1300;984,1;984,5;984,1;2871,8;29,6;29,6;27,2;57;46;46;108;8,7;4,5;
2014-01-03;1400;983,7;984,2;983,7;3425,3;29,7;30,4;28,6;48;40;44;109;9,3;4,6;
2014-01-03;1500;983,2;983,7;983,2;3632,9;31,1;31,4;29,6;44;37;38;120;10,1;4,7;
2014-01-03;1600;982,3;983,2;982,3;3083,2;31,8;32,5;31;39;35;37;133;9,5;4,6;
2014-01-03;1700;981,3;982,3;981,3;3138;32,7;33,4;31,6;38;32;33;118;8,5;5;
2014-01-03;1800;980,5;981,3;980,5;2352,7;33,1;33,6;32,2;35;31;32;148;8,1;4,3;
2014-01-03;1900;980,4;980,6;980,4;1515,2;32,4;33,6;32,3;33;31;33;155;9,6;4,3;
2014-01-03;2000;980,9;980,9;980,4;555,1;31,7;33,4;31,7;34;32;34;139;8,5;4,1;
2014-01-03;2100;981,5;981,6;980,9;99,9;31;31,8;31;36;34;36;139;9;6,1;
2014-01-03;2200;982,4;982,4;981,5;-2,8;29,6;31;29,6;42;36;42;129;12,1;5,8;
2014-01-03;2300;983,2;983,2;982,4;-3,5;28,6;29,6;28,6;45;42;45;128;10,8;6,5;
2014-01-04;0000;984,3;984,3;983,2;-3,5;27,3;28,6;27,3;49;45;49;132;10,8;6,2;
2014-01-04;0100;984,8;984,8;984,3;-3,5;26;27,4;26;59;49;59;135;10,7;6,2;
2014-01-04;0200;984,9;985;984,8;-3,5;25,1;26;25;65;59;65;137;9,7;4,5;
2014-01-04;0300;984,7;984,9;984,7;-3,5;24,1;25,1;24,1;70;65;70;125;8,3;2,9;
2014-01-04;0400;984,5;984,7;984,4;-3,5;23,6;24,2;23,6;72;70;72;126;8;3,8;
2014-01-04;0500;984,5;984,5;984,4;-3,5;23,1;23,6;23;74;72;74;134;6;2,8;
2014-01-04;0600;984,4;984,5;984,4;-3,5;22,4;23,1;22,4;77;74;77;149;5,1;2,4;
2014-01-04;0700;984,8;984,8;984,3;-3,5;22,2;22,4;22;80;77;80;154;3,8;2,4;
2014-01-04;0800;985,3;985,3;984,8;-3,5;21,8;22,2;21,8;81;80;81;157;4;1,8;
2014-01-04;0900;986,1;986,1;985,3;76,1;22,2;22,2;21,5;83;81;81;135;3,1;1,8;
2014-01-04;1000;986,6;986,6;986,1;728,8;23,5;23,5;22,1;82;76;76;128;4,5;2,6;
2014-01-04;1100;986,7;986,8;986,6;1564,2;25;25;22,9;77;68;69;119;6,8;4,4;
2014-01-04;1200;986,7;986,9;986,7;2150,4;26,8;27;25;69;58;58;121;7,5;4,2;
2014-01-04;1300;986,2;986,7;986,1;2765;28,6;28,8;26,5;62;50;52;134;9,7;4,9;
2014-01-04;1400;985,8;986,2;985,7;3251,6;29,6;30,2;27,8;53;43;45;108;10,6;5,9;
2014-01-04;1500;985,2;985,9;985,2;3469,2;31,2;31,2;29,6;45;40;41;124;9,9;3,3;
2014-01-04;1600;984,2;985,2;984,2;3467,5;32,7;33,1;30,5;42;34;36;131;8,3;4;
2014-01-04;1700;983;984,2;983;3098;33,6;33,6;31,7;36;31;31;119;8,3;4,2;
2014-01-04;1800;982,2;983;982,2;2657,1;33,8;34,5;33,4;32;27;28;144;9,8;3,2;
2014-01-04;1900;981,9;982,2;981,8;2021,3;33,6;34,8;33,6;29;25;27;138;9,4;4,2;
2014-01-04;2000;982;982;981,8;1245,4;33,5;34,4;33,4;29;26;27;127;7,8;4,6;
2014-01-04;2100;982,4;982,4;982;306,4;32,3;33,6;32,3;30;27;29;152;7,8;4,6;
2014-01-04;2200;982,9;982,9;982,4;-2,6;30,8;32,3;30,8;33;29;33;132;7,6;4,9;
2014-01-04;2300;983,7;983,7;982,9;-3,5;28,9;30,8;28,9;44;33;44;133;11,3;7,6;
2014-01-05;0000;984,5;984,5;983,7;-3,5;27,2;28,9;27,2;54;44;54;130;11,3;6,7;
2014-01-05;0100;985,1;985,1;984,5;-3,5;25,8;27,2;25,8;61;54;61;131;11,2;6;
2014-01-05;0200;985,1;985,3;985,1;-3,5;24,8;25,8;24,8;65;61;65;125;9,5;4,9;
2014-01-05;0300;984,9;985,2;984,8;-3,5;24,1;24,8;24;71;65;71;122;7,3;4,6;
2014-01-05;0400;984,4;984,9;984,4;-3,5;23,6;24,2;23,6;74;70;74;119;8,6;4,3;
2014-01-05;0500;984,3;984,6;984,3;-3,3;23,6;23,6;23,5;75;74;75;123;6,8;4;
2014-01-05;0600;984,3;984,4;984,1;-3,4;23,1;23,6;23,1;76;75;76;118;7,5;3,9;
2014-01-05;0700;984,9;984,9;984,3;-3,5;22,7;23,2;22,7;78;76;78;123;6,3;2,9;
2014-01-05;0800;985,5;985,5;984,9;-3,5;22,5;22,7;22,5;80;78;80;114;4,8;2,9;
2014-01-05;0900;986,3;986,3;985,5;84,6;22,9;22,9;22,3;81;80;80;111;4,9;2,3;
2014-01-05;1000;986,4;986,5;986,3;731,9;24,1;24,3;22,9;80;74;74;124;5,7;3,7;
2014-01-05;1100;986,6;986,7;986,4;1391,1;25;26;24,1;74;63;65;114;8,6;5;
2014-01-05;1200;986,6;986,8;986,6;2066,8;27,1;27,6;24,9;66;55;55;113;8,6;4,7;
2014-01-05;1300;986,4;986,7;986,3;2530,7;28,1;29;26,5;59;46;48;128;9,8;5,5;
2014-01-05;1400;986;986,4;985,9;2791,3;30;30,1;28,1;49;42;42;126;9,8;4,6;
2014-01-05;1500;985,1;986;985,1;3305,9;30,7;31,2;29,4;43;38;39;137;9,3;4,1;
2014-01-05;1600;984,2;985,1;984,2;3595,8;32,4;33,1;30,5;41;33;33;143;8,4;3,5;
